Franklin,Franklin and Lamar
Franklin,Repossession
Michael,Complications
Franklin,follow Michael
Franklin,Chop
Michael,Father/Son
Michael,follow Franklin
Franklin,The Long Stretch
Michael,Marriage Counseling
Michael,Daddy's Little Girl
Michael,Friend Request
Michael,Casing the Jewel Store
Michael,The Jewel Store Job
Trevor,Mr. Philips
Trevor,follow Michael
Trevor,Nervous Ron
Trevor,Trevor Philips Industries
Trevor,Crystal Maze
Trevor,Friends Reunited
player,follow Trevor
player,follow Michael